awardid,code,text
1606422,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1631282,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1601875,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1604148,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1600521,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1628726,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1629955,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1632191,1640,"
1640
INFORMATION TECHNOLOGY RESEARC
"
1632191,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1603681,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1623035,9251,"
9251
RES EXPER FOR UNDERGRAD-SUPPLT
"
1606350,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1610109,8614,"
8614
Nanomaterials
"
1628831,7918,"
7918
CYBER-PHYSICAL SYSTEMS (CPS)
"
1620932,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1612944,1579,"
1579
HYDROLOGIC SCIENCES
"
1612944,7458,"
7458
GEOMORPHOLOGY & LAND USE DYNAM
"
1620669,9150,"
9150
EXP PROG TO STIM COMP RES
"
1637973,7350,"
7350
NAT ECOLOGICAL OBSERVATORY NET
"
1619878,7364,"
7364
INFO INTEGRATION & INFORMATICS
"
1625950,1391,"
1391
ARCHAEOLOGY
"
1619785,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1631903,7465,"
7465
NANOSCALE BIO CORE
"
1608035,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1625220,7943,"
7943
PROGRAMMING LANGUAGES
"
1600705,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1631602,9150,"
9150
EXP PROG TO STIM COMP RES
"
1600724,9179,"
9179
GRADUATE INVOLVEMENT
"
1604232,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1602558,1267,"
1267
TOPOLOGY
"
1602558,1264,"
1264
ALGEBRA,NUMBER THEORY,AND COM
"
1602558,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608269,7690,"
7690
ADVANCE - IT-START
"
1630195,7916,"
7916
EAGER
"
1608088,8011,"
8011
Systems and Synthetic Biology
"
1608088,9183,"
9183
GENERAL FOUNDATIONS OF BIOTECHNOLOGY
"
1602670,8070,"
8070
P2C2 Proposals
"
1624273,8023,"
8023
I-Corps
"
1609842,8084,"
8084
CDS&E
"
1609842,8084,"
8084
CDS&E
"
1600220,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601356,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1602500,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601210,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1632797,094E,"
094E
Optoelectronic devices
"
1600956,1585,"
1585
STUDIES OF THE EARTHS DEEP INT
"
1623007,1266,"
1266
APPLIED MATHEMATICS
"
1623007,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624225,1997,"
1997
NSF Research Traineeship (NRT)
"
