awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Computational Tools for Dynamical Systems,08/01/2015,08/31/2017,83295,Standard Grant,11/17/2015,11/17/2015,,1602300,Leland M. Jameson,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Saint Louis University,St Louis,631032006,3149773925,221 N. Grand Blvd.,United States,Missouri,MO
PostDoctoral Research Fellowship,06/01/2016,05/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606422,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Knudsen Benjamin,Chicago,60622,None,None,United States,Illinois,IL
MRI: Development of an Apertureless Near-Field Scanning Optical and Magneto-Optical Kerr Effect Microscope for Nano-Science Applications,07/01/2015,08/31/2016,316312,Standard Grant,03/28/2016,03/28/2016,,1631282,Leonard Spinu,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
Enhancing an Energy Technology Associate Degree Program to Meet Employer Needs,08/01/2016,07/31/2019,199986,Standard Grant,04/12/2016,04/12/2016,,1601875,Elizabeth Teles,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Lake-Sumter State College,Leesburg,347883950,3523233609,9501 U S Hwy 441,United States,Florida,FL
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1604148,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Lang Jaclyn A,Los Angeles,90049,None,None,United States,California,CA
DISSERTATION RESEARCH : Species pool influences on the structure and function of fungal symbiont communities,06/01/2016,05/31/2017,16900,Standard Grant,03/24/2016,03/24/2016,,1600521,George Malanson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
EDU: Collaborative: Re-energizing K-12 Extramural Programs with Security Activities,08/13/2015,05/31/2017,299782,Standard Grant,02/10/2016,03/15/2016,,1628726,Victor P. Piotrowski,11010001,Direct For Education and Human Resources,Direct For Education and Human Resources,California Polytechnic State University Foundation,San Luis Obispo,934070830,8057562982,One Grand Ave,United States,California,CA
"Workshop: Setting a Broader Impact Innovation Roadmap; Arlington, Virginia; May 2016",03/15/2016,05/31/2017,58005,Standard Grant,03/10/2016,03/10/2016,,1629955,Joanne D. Culbertson,07030000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
"Broadband Seismological Observations of Aftershocks of the September 16, 2015 Mw 8.3 Illapel Earthquake, Chile",12/01/2015,11/30/2017,99990,Standard Grant,11/27/2015,11/27/2015,,1600890,Eva E. Zanzerkia,06030204,Directorate For Geosciences,Directorate For Geosciences,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
"RAPID: A real-world opportunity to study responsibility, social identity, signaling, and collective mobilization",01/15/2016,12/31/2016,124975,Standard Grant,01/04/2016,01/04/2016,,1622687,Kerry Marsh,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
NSF Student Travel Grant for 2016 ACM Annual International Conference on Mobile Computing and Networking (ACM MobiCom),05/01/2016,04/30/2017,20000,Standard Grant,02/26/2016,02/26/2016,,1632191,Wenjing Lou,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,SUNY at Binghamton,BINGHAMTON,139026000,6077776136,4400 VESTAL PKWY E,United States,New York,NY
Role of Fronto-Parietal Cortex in Delay Discounting,08/24/2015,05/31/2016,205310,Continuing grant,11/16/2015,11/16/2015,,1613264,Jonathan W. Leland,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1603681,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Leven Emily,La Jolla,92037,None,None,United States,Texas,TX
