awardid,code,text
1546145,8083,"
8083
Big Data Science &Engineering
"
1546145,8083,"
8083
Big Data Science &Engineering
"
1606422,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1501499,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1501499,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1501499,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1535716,9150,"
9150
EXP PROG TO STIM COMP RES
"
1500249,8019,"
8019
Accelerating Innovation Rsrch
"
1556554,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1556554,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1537985,8025,"
8025
Advanced Materials Processing
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1520594,9180,"
9180
PUBLIC SCIENCE LITERACY EDUCATION
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1530543,8020,"
8020
Green Engineering
"
1631282,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1544887,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1544887,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1544887,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
